title,title_alternative1,title_alternative2,rating,votes,type_serie,cover,state,followers,categories,related,episodes,description,reactions_like,reactions_funny,reactions_love,reactions_surprise,reactions_angry,reactions_sad,reactions_total
Phantasy Star Online 2: Episode Oracle,ファンタシースターオンライン2 エピソード・オラクル,none,4.2,268,ANIME,https://www3.animeflv.net/uploads/animes/covers/3207.jpg,FINALIZADO,4271,Acción|Ciencia Ficción|Espacial,Phantasy Star Online 2 The Animation (Secuela),25.0,,14,1,33,2,9,1,60
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",私、能力は平均値でって言ったよね!,none,4.6,1077,ANIME,https://www3.animeflv.net/uploads/animes/covers/3206.jpg,FINALIZADO,7282,Comedia|Fantasía,,12.0,"Cuando la hija mayor de la familia Ascham, Adele, cumplió diez años, recordó todo de su vida pasada cuando fue golpeada con un fuerte dolor de cabeza. Ella era Kurihara Misato en su vida anterior, quien murió cuando tenía 18 años tratando de ayudar a una niña, seguida de un encuentro con Dios. Durante su reunión, ella suplicó llevar una vida promedio con habilidades promedio. Después de todo, su yo algo capaz ha sido cargado con todas las expectativas que se le plantearon. Sin embargo, las cosas no solo salen según lo planeado, sino que debe tener cuidado de no ascender accidentalmente a los rangos S si desea mantener su vida promedio deseada.",50,13,159,2,1,1,226
Babylon,バビロン,none,4.6,782,ANIME,https://www3.animeflv.net/uploads/animes/covers/3204.jpg,FINALIZADO,6329,Suspenso|Misterio,,12.0,"La historia de suspenso nos presenta a Zen Seizaki, un fiscal del distrito de Tokio que investiga ciertas irregularidades en una compañía farmacéutica. Indagando sobre el asunto, Seizaki se encuentra con una conspiración para unas elecciones en referencia a una “nueva zona” establecida en la zona oeste de Tokio.",36,3,52,15,9,3,118
Actors: Songs Connection,ACTORS -Songs Connection-,none,3.8,323,ANIME,https://www3.animeflv.net/uploads/animes/covers/3205.jpg,FINALIZADO,1881,Escolares|Música,,12.0,"La historia está protagonizada por las vidas diarias de los estudiantes y profesores de la Academia Privada Amaka, una escuela creada por Slive Central.",18,4,95,0,2,1,120
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,Special Crime Investigation Unit - Special 7,警視庁 特務部 特殊凶悪犯対策室 第七課 -トクナナ-,4.3,375,ANIME,https://www3.animeflv.net/uploads/animes/covers/3202.jpg,FINALIZADO,5509,Acción|Policía,,12.0,"Hace mucho tiempo, los dragones gobernaban un mundo lleno de extrañas criaturas: elfos, enanos, vampiros, homúnculos y humanos. Pero en el presente los dragones han desaparecido, por lo que los seres que sobrevivieron decidieron coexistir y al pasar los años la apariencia de gran parte de las criaturas ha llegado a parecerse a la de los humanos. En el año 2X19 un grupo llamado ""Nine"" causa caos en su búsqueda por obtener los poderes de los dragones y cambiar el mundo, amenazando el periodo de paz en el que se encuentran. Por ello, la policía crea a la Unidad Especial de Investigación de Delitos – Especial 7 (Tokunana), formada por varios expertos para luchar contra Nine.",15,0,18,2,2,0,37
Fairy Gone 2nd Season,Fairy gone Season 1 Part 2,Fairy gone フェアリーゴーン 第2期,4.1,476,ANIME,https://www3.animeflv.net/uploads/animes/covers/3203.jpg,FINALIZADO,3470,Acción|Demonios|Fantasía|Magia|Sobrenatural,Fairy Gone (Precuela),12.0,Segunda temporada de Fairy Gone.,28,2,25,1,2,0,58
Bokutachi wa Benkyou ga Dekinai 2,"BokuBen, We Can't Study",ぼくたちは勉強ができない,4.7,2415,ANIME,https://www3.animeflv.net/uploads/animes/covers/3200.jpg,FINALIZADO,15452,Comedia|Escolares|Harem|Romance|Shounen,Bokutachi wa Benkyou ga Dekinai (Precuela),13.0,Segunda temporada de Bokutachi wa Benkyou ga Dekinai,86,21,592,4,10,5,718
Mairimashita! Iruma-kun,魔入りました！入間くん,none,4.8,3233,ANIME,https://www3.animeflv.net/uploads/animes/covers/3197.jpg,FINALIZADO,26039,Comedia|Demonios|Fantasía|Shounen|Sobrenatural,Mairimashita! Iruma-kun 2nd Season (Secuela),23.0,"Suzuki Iruma ha sido vendido al demonio por sus padres irresponsables a cambio de dinero. Sorprendentemente, lo siguiente que sabe es que está viviendo con el demonio y ha sido transferido a una escuela en el Mundo Demonio ...",218,124,1477,31,17,10,1877
Val x Love,"Vallove, Ikusa x Koi",戦×恋（ヴァルラヴ）,4.4,1246,ANIME,https://www3.animeflv.net/uploads/animes/covers/3198.jpg,FINALIZADO,14257,Comedia|Ecchi|Escolares|Harem|Romance|Shounen|Sobrenatural,,12.0,Takuma Akutsu es un joven de preparatoria al que le aterroriza el contacto humano y solo quiere llevar una vida tranquila... idea que se desvanece por completo cuando nueve hermanas Valkyries llegan a su casa y se instalan a vivir en ella. El joven tendrá que criar a las chicas para aumentar su nivel y que puedan derrotar a los monstruos que amenazan a la humanidad. ¿Y cómo subir su nivel? ¡Haciendo cosas pervertidas con ellas!,74,21,195,2,12,2,306
Fate/Grand Order: Zettai Majuu Sensen Babylonia,Fate/Grand Order: Absolute Demonic Front - Babylonia,Fate/Grand Order -絶対魔獣戦線バビロニア-,4.7,968,ANIME,https://www3.animeflv.net/uploads/animes/covers/3199.jpg,FINALIZADO,11006,Acción|Fantasía|Magia|Sobrenatural,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter (Precuela)|Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon (Secuela),21.0,"Una adaptación de la Séptima Guerra del Santo Grial, La línea de frente absoluta en la Guerra contra las Bestias Demoníacas Babilonia.",85,11,332,10,4,5,447
