type_real_state,url,title,location_string,location_latitude,location_longitude,date_publication,state,deliver,coin,views,price,expenses,discount,description_sup,description,pictures,advertiser_name,advertiser_codes,feature_rooms,feature_unities,feature_stotal,feature_scover,feature_bath,feature_parking,feature_toilete,feature_antique,general_features_xml,location_tree
departamento,https://www.plusvalia.com/propiedades/-0-9-8-2-9-5-3-1-9-3-quito-vendo-departamento-de-lujo-62428371.html,*0 9 8 2 9 5 3 1 9 3 Quito Vendo Departamento de Lujo Bellos Acabados,"GONNESSIAT Y GONZALEZ SUAREZ, González Suárez, Quito",-0.195185002921206,-78.47867756560669,12/10/2021,Venta,house_default,USD,44,230000.0,+ USD 1 Condominio/Alícuota,0,Departamento · 177m² · 3 Habitaciones · 2 Estacionamientos,SECTOR GONNESSIAT - MEJOR UBICADO AMPLIO A UN PRECIO CONVENIENT.|177m2 + balcón + 2 parqueaderos + bodega|Piso 3° en edificio de lujo con guardianía 24 horas|Dormitorio Master con balcón y baño privado|2 dormitorios con baño compartido|Sala de estar|Amplia sala comedor|Cocina independiente|Cortinas y lámparas.|Baño de servicio|PRECIO DE VENTA: $ 235.000,https://img10.naventcdn.com/avisos/resize/9/00/62/42/83/71/1200x1200/282743902.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/42/83/71/1200x1200/282743899.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/42/83/71/1200x1200/282743893.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/42/83/71/1200x1200/282744594.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/42/83/71/1200x1200/282743889.jpg,Alexandra Calderon,Cód. del anunciante: 2H24PL|Cód. Plusvalia: 62428371|Lic Prof: 5045,3 Habitaciones,none,222 m² Total,177 m² Cubierta,3 Baños,2 Estacionamientos,1 Medio baño,11 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Intercomunicador</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Guardianía/Seguridad privada|Iluminación|Puertas eléctricas|Control de accesos|Extractor de olores|Generador eléctrico|Cortinas/Persianas</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1</content></general_feature><general_feature><title>Exteriores</title><content>Balcón(es)|: 1</content></general_feature></general_features_xml>,Plusvalia->Departamento->Comprar->Pichincha->Quito->González Suárez->*0 9 8 2 9 5 3 1 9 3 Quito Vendo Departamento de Lujo Bellos Acabados
oficina comercial,https://www.plusvalia.com/propiedades/-0-9-8-2-9-5-3-1-9-3-vendo-oficina-torre-boreal-61870822.html,*0 9 8 2 9 5 3 1 9 3 Vendo Oficina Torre Boreal - Quito,"12 DE OCTUBRE, Centro Norte, Quito",-0.204549837542103,-78.48573646331775,3/8/2021,Venta,house_default,USD,44,69000.0,+ USD 75 Condominio/Alícuota,0,Oficina comercial · 50m² · 1 Habitación · 1 Estacionamiento,"INFORMES: 0 9 8 2 9 5 3 1 9 3 Scalla Alcázar “Terre e Case”|50m2 + parqueadero de 12m2|La mejor alternativa para su empresa, exclusividad y elegancia, iluminación natural y EXCELENTE VISTA ubicada en el mejor sector financiero de la ciudad.|Cuenta con un espacio abierto, un baño, ventanales que permiten muy buen ingreso de luz, piso de porcelanato.|• Edificio inteligente alta seguridad 24/7|• 5 ascensores,|• Salón corporativo equipado para conferencias.|• Gimnasio muy bien equipado.|• Terraza.|• Parqueaderos de visitas.|• Control de accesos con tarjeta magnética. Recepción y mensajería.|PRECIO DE VENTA: $ 69.000|INFORMES: 0 9 8 2 9 5 3 1 9 3 Scalla Alcázar “Terre e Case”|La información y medidas provistas por el Agente Inmobiliario podrían no ser exactas la que será verificada con la documentación pertinente",https://img10.naventcdn.com/avisos/9/00/61/87/08/22/1200x1200/272343273.jpg|https://img10.naventcdn.com/avisos/9/00/61/87/08/22/1200x1200/281486613.jpg|https://img10.naventcdn.com/avisos/9/00/61/87/08/22/1200x1200/281486614.jpg|https://img10.naventcdn.com/avisos/9/00/61/87/08/22/1200x1200/281486617.jpg|https://img10.naventcdn.com/avisos/9/00/61/87/08/22/1200x1200/281486616.jpg,Alexandra Calderon,Cód. del anunciante: 2GBFAM|Cód. Plusvalia: 61870822|Lic Prof: 5045,1 Habitación,none,50 m² Total,50 m² Cubierta,1 Baño,1 Estacionamiento,none,10 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 5|Terraza|Tipo de piso|: Porcelanato</content></general_feature><general_feature><title>Servicios</title><content>Gimnasio|Línea telefónica|Guardianía/Seguridad privada|Parqueadero visitantes|Sala de conferencia|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Generador eléctrico|Posee luminarias</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Comprar->Pichincha->Quito->Centro Norte->*0 9 8 2 9 5 3 1 9 3 Vendo Oficina Torre Boreal - Quito
terreno / lote,https://www.plusvalia.com/propiedades/-3-cosas-de-este-terreno-en-la-urb.-rio-grande-que-te-63101894.html,★ 3 Cosas de Este Terreno en La Urb. Rio Grande Que Te Sorprenderán,"Inmobiliaria Mastarreno , Norte de Guayaquil, Guayaquil",-2.1903113,-79.9059052,17/1/2022,Venta,house_default,USD,32,350000.0,none,0,Terreno / Lote · 997m²,"La Urb Rio Grande esta muy bien ubicada, en los primeros kms, cerca al Riocentro Entre Ríos y al Buena Vista Plaza, es una urbanización de alto status y terrenos amplios, muy tranquila y segura, pero hay 3 cosas de este terreno que te sorprenderán.||1.- Es uno de los 4 terrenos que quedan disponibles, y el único que esta en venta, ya que todo lo demás esta construido.|2.- Es un terreno bifamiliar, es decir se pueden hacer 2 casas, ideal para familias que deseen estar juntas.|3.- El precio tanto por m2 como por valor final es el mejor de los primeros kms, es una buena oportunidad para mejorar tu estilo de vida, además está lejos de la garita y cerca de una de las 3 grandes áreas verdes.|El terreno tiene 997m2, tiene todo al día, y puede ser tuyo por tan solo $350.000||¿Quieres conocerlo? ¡Aprovecha esta oportunidad y separa una cita ahora!|Inmobiliaria Mastarreno, expertos en terrenos.",https://img10.naventcdn.com/avisos/9/00/63/10/18/94/1200x1200/294700997.jpg|https://img10.naventcdn.com/avisos/9/00/63/10/18/94/1200x1200/294700998.jpg|https://img10.naventcdn.com/avisos/9/00/63/10/18/94/1200x1200/294700999.jpg|https://img10.naventcdn.com/avisos/9/00/63/10/18/94/1200x1200/294700996.jpg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg,InmobiliariaMastarreno,Cód. del anunciante: 2HR36E|Cód. Plusvalia: 63101894,none,none,997 m² Total,997 m² Cubierta,none,none,none,A estrenar,<general_features_xml></general_features_xml>,Plusvalia->Terreno / Lote->Comprar->Guayas->Guayaquil->Norte de Guayaquil->★ 3 Cosas de Este Terreno en La Urb. Rio Grande Que Te Sorprenderán
terreno / lote,https://www.plusvalia.com/propiedades/-3-razones-por-las-que-este-terreno-en-la-rioja-te-63016316.html,★3 Razones por Las Que Este Terreno en La Rioja Te Encantará,"Inmobiliaria Mastarreno , Norte de Guayaquil, Guayaquil",-2.1903113,-79.9059052,5/1/2022,Venta,house_default,USD,122,36000.0,none,0,Terreno / Lote · 112m²,"La rioja esta muy bien ubicada cerca a Guayaquil y a la aurora, es perfecto para las familias y además de ser tranquilo, seguro, contar con complejo y todas las comodidades hay 3 razones por las que debes comprarlo:||1.- La etapa canaria donde esta ubicado el terreno es una etapa COMPLETAMENTE NUEVA, y lo nuevo es mejor.||2.- Es el mas económico de la zona de la aurora, es una buena oportunidad para comprar.||3.- Tiene mucha proyección para tener mayor plusvalía a futuro que otros sectores y se volverá una zona mas completa y el terreno se revalorizara.||El terreno tiene 112m² (7×16) y puede ser tuyo por tan solo $36.000 (Solo al contado)|¿Quieres conocerlo? ¡Míralo antes que otros! ¡Déjanos tus datos para separarte una cita ahora!|Inmobiliaria Mastarreno.",https://img10.naventcdn.com/avisos/9/00/63/01/63/16/1200x1200/293306505.jpg,InmobiliariaMastarreno,Cód. del anunciante: 2HNS3Q|Cód. Plusvalia: 63016316,none,none,112 m² Total,112 m² Cubierta,none,none,none,A estrenar,<general_features_xml><general_feature><title>Ambientes</title><content>Urbanización privada</content></general_feature></general_features_xml>,Plusvalia->Terreno / Lote->Comprar->Guayas->Guayaquil->Norte de Guayaquil->★3 Razones por Las Que Este Terreno en La Rioja Te Encantará
departamento,https://www.plusvalia.com/propiedades/agua-clara-departamentos-de-venta-ed.-north-place-63081006.html,Agua Clara - Departamentos de Venta - Ed. North Place II por Estrenar,"DE LOS EUCALIPTOS Y REAL AUDIENCIA, Ponceano, Quito",-0.115373761007214,-78.484290148024,14/1/2022,Venta,house_default,USD,44,106150.0,+ USD 40 Condominio/Alícuota,0,Departamento · 109m² · 3 Habitaciones · 1 Estacionamiento,"Área Construida: 106 m2 y 109 m²|3 dormitorios, sala comedor, cocina, 2 baños completos, 1 baño social, Parqueadero y bodega||Excelentes acabados, ingreso con huella digital al edificio.||Características externas:|Centros comerciales|Cerca zona urbana|Colegios / universidades|Garita de guardia|Parqueadero visitantes|Parques cercanos|Salón comunal|Terraza|Trans. público cercano|Vigilancia|Zona residencial|7 departamentos listos para estrenar|Precios desde $106.150,00 y $109.540,00||Reserva con el 10 % para hacer la promesa de compra venta y cuenta con todas las facilidades para crédito hipotecario.||CBR: VERÓNICA CHERRES|TELF:",https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294378624.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294380014.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294378665.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294378618.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294378617.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/10/06/1200x1200/294378668.jpg,M&M Gestión Inmobili@ria,Cód. del anunciante: JMVCH002|Cód. Plusvalia: 63081006,3 Habitaciones,none,none,109 m² Cubierta,2 Baños,1 Estacionamiento,1 Medio baño,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Caseta de guardia|Terraza|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Número de departamentos|: 14|Intercomunicador|Número de pisos|: 5|Walk in closet</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Control de accesos|Calefón|Servicios básicos (agua/luz)|área de Juegos Infantiles</content></general_feature><general_feature><title>Ambientes</title><content>Sala comunal|Area de eventos</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Balcón(es)|: 1</content></general_feature></general_features_xml>,Plusvalia->Departamento->Comprar->Pichincha->Quito->Ponceano->Agua Clara - Departamentos de Venta - Ed. North Place II por Estrenar
casa,https://www.plusvalia.com/propiedades/-alquilo-vendo-casa-cumbaya-piscina-cerca-63180910.html,- Alquilo - Vendo - Casa - Cumbaya - Piscina - Cerca - Universidad - $2500 - / - $800.000,"Diego de Robles, Cumbayá, Quito",-0.19393777257758,-78.43663354788511,26/1/2022,Venta,house_default,USD,91,800000.0,+ USD 300 Condominio/Alícuota,0,Casa · 320m² · 3 Habitaciones · 6 Estacionamientos,"Alquilo / Vendo casa Cumbaya, cerca ala universidad USFQ|Casa Independiente, no adosada en urbanización privada|Alquiler $2500|Venta $800.000|Excelente ubicación, entorno céntrico en Cumbaya, Universidad, Centros Comerciales, oficinas, bancos, colegios, Chaquiñan, etc|2500m2 de terreno|320m2 de construcción|3 dormitorios|3,5 baños|sala|comedor|cocina|comedor de diario|despensa|área de servicio completa|área de BBQ con sala exterior|piscina techada con vestidor, ducha|baño turco|gimnasio|5/7 parqueaderos|Alquiler $2500|La alícuota ( $300) Incluye una persona que va 3 veces por semana para cuidado de áreas exteriores|Venta $800.000|Informes|Verónica Vásquez",https://img10.naventcdn.com/avisos/9/00/63/18/09/10/1200x1200/296023105.jpg,veronica vasquez,Cód. del anunciante: 2I010A|Cód. Plusvalia: 63180910,3 Habitaciones,none,2500 m² Total,320 m² Cubierta,5 Baños,6 Estacionamientos,1 Medio baño,24 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Chimenea|Jardín(es)|Piscina|Baño de servicio|: 1|Cuartos de servicio|Acabados de Lujo|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Niveles construidos|: 2|Número de pisos|: 2|Av. acceso asfaltada|Closet|Walk in closet</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Gimnasio|Internet/Wifi|Línea telefónica|Iluminación|Puertas eléctricas|Sistema de alarma de seguridad|Calefón|Extractor de olores|Servicios básicos (agua/luz)|Areas verdes</content></general_feature></general_features_xml>,Plusvalia->Casa->Comprar->Pichincha->Quito->Cumbayá->- Alquilo - Vendo - Casa - Cumbaya - Piscina - Cerca - Universidad - $2500 - / - $800.000
casa,https://www.plusvalia.com/propiedades/-aplica-credito-vip!-casa-de-venta-a-estrenar-en-63083826.html,¡Aplica Crédito Vip! Casa de Venta a Estrenar en Conocoto - Los Chillos,"Av. Jaime Roldós Aguilera y Pichincha, Los Chillos, Quito",-0.288760009937,-78.4800141673,14/1/2022,Venta,house_default,USD,77,94900.0,none,0,Casa · 140m² · 3 Habitaciones · 1 Estacionamiento,"¡Tu casa propia en Conocoto - Aplica crédito VIP!||Casa de venta ubicada en Conocoto, a 3 minutos del puente 7 de la Autopista General Rumiñahui, con estilo arquitectónico contemporáneo, versátil y funcional, pensada en tu familia y en hacer de tu hogar un espacio acogedor y agradable para vivir.||ÁREA HABITABLE: 101 m²|ÁREA DE TERRENO: 140 m²||PRIMER PISO: Sala, comedor, cocina con muebles altos y bajos empotrados, baño social, jardín frontal, garaje, patio posterior|SEGUNDO PISO: 2 Dormitorios con closet y baño compartido, 1 dormitorio máster con walking closet y baño privado|ÁREAS Y SERVICIOS COMUNALES: Área verde con juegos infantiles, sala comunal, parqueadero de visitas, cerco eléctrico, garita para guardia||ACABADOS: Porcelanato en pisos del área social y baños; muebles de cocina y closets de MDF; lavabo, inodoro y grifería Briggs, piso flotante en dormitorios, granito en mesones.|||¡Agenda tu visita ya! CBR. Wendy Heredia - Status Inmobiliaria",https://img10.naventcdn.com/avisos/9/00/63/08/38/26/1200x1200/294563443.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/38/26/1200x1200/294423118.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/38/26/1200x1200/294423108.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/38/26/1200x1200/294423120.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/38/26/1200x1200/294423105.jpg,STATUS INMOBILIARIA,Cód. del anunciante: WH011|Cód. Plusvalia: 63083826|Lic Prof: Licencia N°1216-P,3 Habitaciones,none,140 m² Total,none,2 Baños,1 Estacionamiento,1 Medio baño,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Jardín(es)</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Línea telefónica|Iluminación|Televisión por cable|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Patio</content></general_feature></general_features_xml>,Plusvalia->Casa->Comprar->Pichincha->Quito->Los Chillos->¡Aplica Crédito Vip! Casa de Venta a Estrenar en Conocoto - Los Chillos
departamento,https://www.plusvalia.com/propiedades/-c-departamento-venta-cumbaya-fez-2-dorm.-balcon-y-63082449.html,"(#c) Departamento Venta Cumbayá Fez, 2 Dorm., Balcón y Hermosa Vista","Fez Cumbayá, Cumbayá, Quito",-0.1983385,-78.4444359,14/1/2022,Venta,house_default,USD,37,240000.0,+ USD 1 Condominio/Alícuota,0,Departamento · 145m² · 2 Habitaciones · 2 Estacionamientos,"***Solo interesados directos, no corredores***|Departamento de ensueño en venta, la mejor ubicación de Cumbayá|Más información: 0 9 5 - 8 8 8 - 2 5 5 5|....|* 145 m2|* Vista frontal al cerro Ilaló|* Balcón de 12 m2|* 2 dormitorios con baños completos cada uno + baño social|* Ventanales piso - techo con hermosa vista|* Cocina tipo americano|* Sala y comedor con salida al balcón|* Área de máquinas|* 2 parqueaderos + 1 bodega||Edificio con áreas verdes comunales, seguridad 24 horas y parqueaderos de visitas",https://img10.naventcdn.com/avisos/9/00/63/08/24/49/1200x1200/294398989.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/24/49/1200x1200/294398991.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/24/49/1200x1200/294398994.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/24/49/1200x1200/294398990.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/24/49/1200x1200/294398993.jpg,"DINMO Inmobiliaria Anunciante Premier",Cód. del anunciante: 2HQBI9|Cód. Plusvalia: 63082449|Lic Prof: 1164,2 Habitaciones,none,157 m² Total,145 m² Cubierta,2 Baños,2 Estacionamientos,1 Medio baño,13 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Av. acceso asfaltada|Closet|page.posting.features.937</content></general_feature><general_feature><title>Servicios</title><content>Area de lavandería|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Control de accesos|Video vigilancia|Cisterna|Calefón|Extractor de olores|Generador eléctrico|Cortinas/Persianas|Servicios básicos (agua/luz)|Areas verdes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Sala comunal|Closets|: 1</content></general_feature></general_features_xml>,"Plusvalia->Departamento->Comprar->Pichincha->Quito->Cumbayá->(#c) Departamento Venta Cumbayá Fez, 2 Dorm., Balcón y Hermosa Vista"
terreno / lote,https://www.plusvalia.com/propiedades/-c-terreno-esquinero-de-venta-en-tumbaco-62802039.html,"(#c) Terreno Esquinero de Venta en Tumbaco, Urbanización Viña del Río","Urb. Viña del Rio. , Tumbaco, Quito",-0.1980693,-78.4055514,30/11/2021,Venta,house_default,USD,46,442650.0,+ USD 1 Condominio/Alícuota,0,Terreno / Lote · 1362m²,"Amplio lote, cuenta con dos frentes.|- 1.362 m2 de terreno|- 75 m2 de frente|- Fondo:48 m2||- COS PB: 35 %|- COS total: 70 %|- Número de pisos permitidos:2||- $325 por m2||Áreas Comunales:|- Cerramiento|- Guardianía / Seguridad Privada|- Hermosa Vista|- Sala Comunal|- Servicios básicos (agua/luz)",https://img10.naventcdn.com/avisos/9/00/62/80/20/39/1200x1200/289465789.jpg|https://img10.naventcdn.com/avisos/9/00/62/80/20/39/1200x1200/289465791.jpg|https://img10.naventcdn.com/avisos/9/00/62/80/20/39/1200x1200/289465787.jpg|https://img10.naventcdn.com/avisos/9/00/62/80/20/39/1200x1200/289465790.jpg|https://img10.naventcdn.com/avisos/9/00/62/80/20/39/1200x1200/289465792.jpg,"DINMO Inmobiliaria Anunciante Premier",Cód. del anunciante: 2HG019|Cód. Plusvalia: 62802039|Lic Prof: 1164,none,none,1362 m² Total,1362 m² Cubierta,none,none,none,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Caseta de guardia|Jardín(es)|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Av. acceso asfaltada</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Control de accesos|Servicios básicos (agua/luz)|Canchas deportivas</content></general_feature><general_feature><title>Ambientes</title><content>Sala comunal|Urbanización privada</content></general_feature><general_feature><title>Exteriores</title><content>Area de BBQ|Cancha(s)</content></general_feature></general_features_xml>,"Plusvalia->Terreno / Lote->Comprar->Pichincha->Quito->Tumbaco->(#c) Terreno Esquinero de Venta en Tumbaco, Urbanización Viña del Río"
casa,https://www.plusvalia.com/propiedades/-casa-en-la-playa!-para-max.-10-personas-en-punta-63000434.html,¡Casa en La Playa! Para Máx. 10 Personas en Punta Barandúa,"Punta Barandúa, Punta Blanca, Punta Blanca",-2.1610691,-80.7934798,21/1/2022,Alquiler,house_default,USD,37,500.0,none,0,Casa · 380m² · 2 Habitaciones · 5 Estacionamientos,"Alquila una bella casa: ""CASA BANDALÚA"" está a tu disposición para disfrutar con tu familia en privacidad. Casa amplia con dos dormitorios grandes, con amplios baños completos con agua caliente cada uno, cocina tipo americana totalmente equipada, integrado al comedor, y ¡se abre una puerta de 2 metros a la sala exterior cubierta! TV donde puedes contratar televisión pagada, área de hamacas y ducha de arena, parrilla, terraza para ver el mar y el atardecer! amplio terreno para parquear en seguridad los vehículos y que tus mascotas corran. Cuenta con guardianía. A 150 metros de la playa, es decir, bajas caminando 1 cuadra y ya estás en el mar. A proximidad, a 5 minutos en vehículo, encuentras los restaurantes al pie del mar. A dos cuadras caminando una pizzería y una tienda. A 10 minutos en vehículo está San Pablo para ir a comer o una compra divertida al mercado de mariscos y tiendas del pueblo. Es una casa muy tranquila y privada para compartir con tu familia! MÍNIMO DOS(2)NOCHES. Precio por persona/noche US$ 25,00. Se alquila todos los días del año, por semana y meses, previa reservación. Además, se alquila por habitación individual.",https://img10.naventcdn.com/avisos/9/00/63/00/04/34/1200x1200/293020078.jpg|https://img10.naventcdn.com/avisos/9/00/63/00/04/34/1200x1200/293020116.jpg|https://img10.naventcdn.com/avisos/9/00/63/00/04/34/1200x1200/293020114.jpg|https://img10.naventcdn.com/avisos/9/00/63/00/04/34/1200x1200/293020105.jpg|https://img10.naventcdn.com/avisos/9/00/63/00/04/34/1200x1200/293020075.jpg,María-Fernanda Viteri Palomeque,Cód. del anunciante: 2HNAEE|Cód. Plusvalia: 63000434,2 Habitaciones,none,800 m² Total,380 m² Cubierta,2 Baños,5 Estacionamientos,1 Medio baño,1 Antigüedad,<general_features_xml></general_features_xml>,Plusvalia->Casa->Alquilar->Santa Elena->Punta Blanca->Punta Blanca->¡Casa en La Playa! Para Máx. 10 Personas en Punta Barandúa
