channel_id,video_id,published_at,title,description,url_thumbnail,tags,category_id,stats_view_count,stats_like_count,stats_favorite_count,stats_comment_count,content_details_duration_seconds,content_details_caption,content_details_licensedContent
UC0e3QhIYukixgh5VVpKHH9Q,3bhP7zulFfY,2017-12-08T03:54:14Z,AI learns to play snake using Genetic Algorithm and Deep learning,Using a neural network and the genetic algorithm I trained an AI to play snake.|n||n|Time Passing By by Audionautix is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)|n|Artist: http://audionautix.com/,https://i.ytimg.com/vi/3bhP7zulFfY/sddefault.jpg,"AI,Artificial Intelligence,Computer,Computer Science,Deep Learning,Genetic Algorithm,Machine Learning,Snake,game,program,video games",22,3213476,50690,0,2376,403,0,1
UC0e3QhIYukixgh5VVpKHH9Q,mqz16vhWwlU,2018-02-07T09:54:11Z,AI learns Snake Part 2 || Snake Fusion,Using the genetic algorithm and neural networks I trained up 5 snakes  who will then fuse to become the ultimate snake...|n||n|Check out the source code|n| https://github.com/Code-Bullet/SnakeFusion|n||n|Music:|n|EDM Detection Mode by Kevin MacLeod is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)|n|Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1500026|n|Artist: http://incompetech.com/|n||n|Balzan Groove - Vadodara by Kevin MacLeod is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)|n|Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100311|n|Artist: http://incompetech.com/,https://i.ytimg.com/vi/mqz16vhWwlU/sddefault.jpg,"AI,Artificial Intelligence,Deep learning,Machine Learning,Neural Network,Processing,coding,game,java,snake",22,1325267,27471,0,1327,514,0,1
UC0e3QhIYukixgh5VVpKHH9Q,BP6xtp_9UME,2018-09-11T03:26:01Z,AI Learns to play Hill Climb Racing || Part 1 Making the Game,"Watch me make a ""perfect"" copy of Hill Climb Racing|n|Huge thanks to brilliant.org for supporting this channel, check them out at https://www.brilliant.org/CodeBullet|n||n|Twitter: https://twitter.com/code_bullet|n|Patreon: https://www.patreon.com/CodeBullet|n|Discord: https://discord.gg/UZDMYx5",https://i.ytimg.com/vi/BP6xtp_9UME/maxresdefault.jpg,"Hill CLimb Racing,algorithm,artificial,box2d,coding,comedy,computer,educational,evolution,genetic,intelligence,java,learning,machine,physics engine,processing,programming,science",27,1125313,34131,0,1553,574,0,1
UC0e3QhIYukixgh5VVpKHH9Q,N1WRualRBOQ,2018-03-19T04:45:03Z,AI learns to Play Asteroids | part 2 NEAT is awesome,I coded NEAT and attached it to my Asteroids and results are epic.|n|Big thanks to Brilliant.org for supporting this channel check them out at|n|https://www.brilliant.org/CodeBullet|n||n|Become a patreon to contribute to my future content as well as sneak peaks of whats to come.|n|https://www.patreon.com/CodeBullet|n||n||n|My new discord server|n|https://discord.gg/fqaRt|n||n|music used|n|toe jam|n|apprehensive at best|n|DEAF KEV - Invincible |n|operatic|n|wishful thinking,https://i.ytimg.com/vi/N1WRualRBOQ/sddefault.jpg,"AI,Java,NEAT,artificial intelligence,brilliant,computer science,evolution,genetic algorithm,neural network,neuroevolution,processing",22,416412,10470,0,734,661,0,1
UC0e3QhIYukixgh5VVpKHH9Q,C14VDpGAbSE,2018-08-26T11:31:27Z,AI learns to play the WORLDS HARDEST GAME even more levels,Using the genetic algorithm I trained an Ai to play even more levels of the worlds hardest game.|n||n|check out previous videos|n|https://www.youtube.com/watch?v=kVwkLb8zxq0&t=353s|n|https://www.youtube.com/watch?v=Yo2SepcNyw4&t=3s|n||n|I will upload the code soon so you can run these things yourself.|n|Twitter: https://twitter.com/code_bullet|n|Patreon: https://www.patreon.com/CodeBullet|n|Discord: https://discord.gg/UZDMYx5,https://i.ytimg.com/vi/C14VDpGAbSE/maxresdefault.jpg,"Worlds Hardest Game,algorithm,artificial,coding,comedy,computer,educational,evolution,genetic,intelligence,java,learning,machine,processing,programming,science",27,6063366,148350,0,4912,805,0,1
UC0e3QhIYukixgh5VVpKHH9Q,DZfv0YgLJ2Q,2018-07-25T12:44:26Z,I created an AI to Play Chess,"Using minimax i created an Ai to play chess.|n|Huge thanks to brilliant.org for supporting this channel, check them out at https://www.brilliant.org/CodeBullet|n||n|I'll upload the program soon|n||n|Twitter: https://twitter.com/code_bullet|n|Patreon: https://www.patreon.com/CodeBullet|n|Discord: https://discord.gg/UZDMYx5",https://i.ytimg.com/vi/DZfv0YgLJ2Q/maxresdefault.jpg,"Deep blue,IBM,algorithm,artificial,chess,coding,comedy,computer,educational,evolution,genetic,intelligence,java,learning,machine,processing,programming,science",27,2586501,73425,0,4754,712,0,1
UC0e3QhIYukixgh5VVpKHH9Q,Yo2SepcNyw4,2018-07-14T05:12:59Z,AI Learns to play the Worlds Hardest Game,If it wins does that make it the worlds best AI?|n|NEXT LEVEL: https://www.youtube.com/watch?v=kVwkLb8zxq0&t=1s|n|Run the AI in your browser https://code-bullet.github.io/WorldsHardestGameAI/WHG/|n||n|Check out my tutorial on genetic algorithm|n|https://www.youtube.com/watch?v=BOZfhUcNiqk&t=2s|n||n|Follow me on twitter|n|https://twitter.com/code_bullet|n||n|Become a patreon to support my future content|n|https://www.patreon.com/CodeBullet|n||n|Check out my Discord server|n|https://discord.gg/UZDMYx5,https://i.ytimg.com/vi/Yo2SepcNyw4/maxresdefault.jpg,"AI,Deep learning,Worlds Hardest Game,algorithm,artificial,coding,comedy,computer science,education,evolution,game,game development,genetic algorithm,hard,intelligence,java,processing,programming,rage",27,6084768,139168,0,7014,414,0,1
UC0e3QhIYukixgh5VVpKHH9Q,1g1HCYTX3Rg,2018-07-06T10:13:30Z,AI learns to play 2048,"I created an AI to play the game 2048, his name is Thomas|n|Huge thanks to Brilliant.org for supporting this channel check them out at https://www.brilliant.org/CodeBullet|n||n|I have twitter now. Yay|n|follow me to fill the void in my heart|n|https://twitter.com/code_bullet|n||n|Become a patreon to support my future content as well as sneak peaks of whats to come.|n|https://www.patreon.com/CodeBullet|n||n|Check out my Discord server|n|https://discord.gg/UZDMYx5|n||n|I know heaps of people are going to ask so here is the music|n||n|Mirror Mirror -  Diamond Ortiz|n|Smiles for miles - Silent Partner|n|Hyperspeed - eveningland|n|Gypsy Dance - Topher Mohr and Alex Elena|n|Etherial Chior Ascends - Doug Maxwell|n|Wishful thinking - Dan Labowitz",https://i.ytimg.com/vi/1g1HCYTX3Rg/maxresdefault.jpg,"2048,AI,NEAT,algorithm,artificial,coding,comedy,computer science,computers,deep learning,depth first search,evolution,game,game state,genetic algorithm,genome,intelligence,java,learning,machine learning,mobile game,neural network,processing,programming,rage,search",27,9163910,232159,0,6997,671,0,1
UC0e3QhIYukixgh5VVpKHH9Q,1o4naC4P8-M,2018-02-24T23:13:06Z,AI learns to play Asteroids,Using neuroevolution I trained an AI to play the game Asteroids and it nailed it.|n|If you enjoy what I do and want more please consider supporting me on patreon |n|https://www.patreon.com/CodeBullet|n||n|Check out the source code |n|https://github.com/Code-Bullet/AsteroidsAI|n||n||n|music from flying tunes|n|https://www.youtube.com/channel/UCdnkfU-V49Xpj_vNyP2BYlg|n||n|songs used|n|https://www.youtube.com/watch?v=KSN9LkWc5ks&index=21&list=PLNXt4mGJMAQrC7Q8Lnh1BhGOKcwW1gRtF|n||n|https://www.youtube.com/watch?v=gd6GIz8ZILQ&list=PLNXt4mGJMAQrC7Q8Lnh1BhGOKcwW1gRtF&index=16|n||n|https://www.youtube.com/watch?v=8ZVdItaXCnY&list=PLNXt4mGJMAQrC7Q8Lnh1BhGOKcwW1gRtF&index=28,https://i.ytimg.com/vi/1o4naC4P8-M/sddefault.jpg,"AI,Asteroids,artificial intelligence,computer science,deep learning,game,genetic algorithm,neural network,neuroevolution,shooter",22,1223600,34484,0,1999,601,0,1
UC0e3QhIYukixgh5VVpKHH9Q,FKDNdOU_wvk,2018-09-21T00:52:38Z,Making Hill Climb Racing || Part 2 || Help ME,"Finishing the game may have cost me my sanity, but it was worth it.|n|Check out part 1: https://www.youtube.com/watch?v=BP6xtp_9UME&t=476s|n||n|Coding Trains Video on Perlin noise: https://www.youtube.com/watch?v=IKB1hWWedMk&t=636s|n||n|Twitter: https://twitter.com/code_bullet|n|Patreon: https://www.patreon.com/CodeBullet|n|Discord: https://discord.gg/UZDMYx5",https://i.ytimg.com/vi/FKDNdOU_wvk/maxresdefault.jpg,"Hill climb racing,algorithm,artificial,box2d,car,coding,comedy,computer,educational,evolution,games,genetic,intelligence,java,javascript,learning,machine,physics,processing,programming,rage,science,video games",27,1391174,43350,0,1630,804,0,1
