channel_id,video_id,published_at,title,description,url_thumbnail,tags,category_id,stats_view_count,stats_like_count,stats_favorite_count,stats_comment_count,content_details_duration_seconds,content_details_caption,content_details_licensedContent
UCf_MY8uWjWH8gwzFK6vCAmg,FeSDU4LewkY,2017-02-22T07:49:28Z,Un mundo cruel - Minidocumental,"*********************Preguntas frecuentes **************** |n| Mis redes: |n| FB: www.facebook.com/elregresodelfantas |n| Twitter: @darkthanos |n| Ask: ask.fm/CesarSolamente |n| Patreon: www.patreon.com/EsquizofreniaNatural |n|  |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. |n| Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal. |n| ¿Por qué borras las transmisiones en directo? Porque así mantienen su valor como eventos fortuitos, así como cualquier charla. Sin embargo no los borro, de vez en vez volveré a liberarlos para quien se los haya perdido. Cada día 30 estarán disponibles en el canal. |n| ¿Por qué pides apoyo? Bueno, no es fácil hacer los vídeos que hago, requiere mucho trabajo, además estoy en proceso de títularme por lo que contar con una fuente de ingresos me sería de agran ayuda. Por demás, no he ganado ni un centavo con monetización de los vídeos. Es opcional, nadie está obligado. No es limosna, recibes contenido a cambio. |n| ¿Cómo apoyar por otro medio? |n| Bueno, mi correo asociado a Pay Pal es: revoluci0nesquizofrenia@gmail.com Si llegaras a enviar algo, por favor hazmelo saber para incluirte en los créditos y consultar tus peticiones. |n| Otro medio (si vives en México), a través de Oxxo puede depositar a la cuenta saldazo desde 20 pesos, el número de cuenta es: 4766 8402 3017 3390. Si lo haces, de igual manera, hazmelo saber por favor. |n| ¿Escondes mensajes en el canal? A veces, pero no para que los busquen. |n| ¿Analizarás Oyasumi Pun Pun? Sí, aunque no sé cuándo, es un reto mayor. |n| ¿Y Berserk? Es difícil decirlo, aún no termina.",https://i.ytimg.com/vi/FeSDU4LewkY/maxresdefault.jpg,"1984,Análisis,Bancos,Ciencia,Conspiración,Contaminación,Crítica,Delitos,Desigualdad,Documental,Futuro,Gobierno,Manipulación,Peligro,Pobreza",24,52239,4046,0,248,904,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,pSAlXQvneMY,2019-06-12T02:15:00Z,10 Leyes para Lavarte el Cerebro,"En esta ocasión les hablaré sobre un tipo de manipulación de la mente muy fuerte, el lavado de cerebro, un tema que como veremos es muy polémico pero interesante y necesario tocar.",https://i.ytimg.com/vi/pSAlXQvneMY/maxresdefault.jpg,"Análisis,Prisión,Psicología,Stanford,Zimbardo,alexandra stein,cerebro,ciencia,coaching,coerción,comunismo,conocimiento,control social,corea,crítica,culto,estafa,experimento,fenómeno social,guerra fría,historia,influencia,información,lavado,liderazgo,luz del mundo,líder,manipulación,mente,motivación,noticia,opinión,persuasión,poder,progreso,recuperación,reflexión,rehabilitación,religión,revelado,salud,secta,seguridad,sociedad,tranquilidad",28,59624,5447,0,655,957,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,KCJU-tK_2VQ,2018-11-06T19:41:00Z,5 ideas fraudulentas que la gente cree,"Hay doctrinas e ideologías que son puras falacias pero la gente se las cree masivamente, están en todos lados, cine, filosofía y hasta en la ciencia. |n|  |n| *********************Preguntas frecuentes *********************  |n| Mis redes: FB: www.facebook.com/elregresodelfantas  |n| Twitter: @darkthanos  |n| Instagram: https://www.instagram.com/esquizo_natural  |n| Patreon: www.patreon.com/EsquizofreniaNatural  |n|  |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal.  |n|  |n| ¿Cómo apoyar por otro medio? Bueno, mi correo asociado a Pay Pal es: revoluci0nesquizofrenia@gmail.com Si llegaras a enviar algo, por favor hazmelo saber para incluirte en los créditos y consultar tus peticiones. ¿Sigues ocultando mensajes en las descripciones de los videos? Los patreons eligen lo que sigue.",https://i.ytimg.com/vi/KCJU-tK_2VQ/maxresdefault.jpg,"Robert McNamara,análisis,ciencia,cientificismo,científico,conspiración,creencia,crítica,curiosidad,darwinismo social,epistemología,falacías,falso,filosofía,física,gente,historia,ideas,mito,negacionismo,opinión,posmodernidad,progreso,relativismo,secreto,stephen hawking,tierra plana,top",28,135648,9042,0,691,823,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,EJHJw9Nxz1Q,2020-04-30T02:28:04Z,Confinamiento e incertidumbre - Live!,"En esta ocasión hablaré sobre un año lleno de incertidumbre y la forma en que se está respondiendo a él, mostrándonos mucho sobre nosotros. |n|  |n| También estaré respondiendo sus preguntas de todo tipo.",https://i.ytimg.com/vi/EJHJw9Nxz1Q/maxresdefault.jpg,,1,27121,2236,0,108,6571,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,ts1_NPXrU0Y,2017-11-17T16:19:29Z,Dios S.A. - Reflexión,"Hola, en este video les comparto una reflexión sobre la gente y sus ganas de ser salvados, de que las cosas vayan bien y de encontrar tranquilidad. |n| *********************Preguntas frecuentes **************** |n| Mis redes: |n|  |n| FB: www.facebook.com/elregresodelfantas |n| Twitter: @darkthanos |n| Ask: ask.fm/CesarSolamente |n| Discord: https://discord.gg/2nNmmUw |n| Patreon: www.patreon.com/EsquizofreniaNatural |n| ¿Ya conoces a la comunidad espiral? = https://www.youtube.com/watch?v=aeRrZ-NKP58 |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. |n| Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal. |n|  |n| ¿Por qué borras las transmisiones en directo? Porque así mantienen su valor como eventos fortuitos, así como cualquier charla. Sin embargo no los borro, de vez en vez volveré a liberarlos para quien se los haya perdido.  |n|  |n| ¿Por qué pides apoyo? Bueno, no es fácil hacer los vídeos que hago, requiere mucho trabajo, además estoy en proceso de títularme por lo que contar con una fuente de ingresos me sería de agran ayuda. Por demás, no he ganado ni un centavo con monetización de los vídeos. Es opcional, nadie está obligado. No es limosna, recibes contenido a cambio. |n|  |n| ¿Cómo apoyar por otro medio? |n| Bueno, mi correo asociado a Pay Pal es: revoluci0nesquizofrenia@gmail.com Si llegaras a enviar algo, por favor hazmelo saber para incluirte en los créditos y consultar tus peticiones. |n| Otro medio (si vives en México), a través de Oxxo puede depositar a la cuenta saldazo desde 20 pesos, el número de cuenta es: 4766 8402 3017 3390. Si lo haces, de igual manera, hazmelo saber por favor.",https://i.ytimg.com/vi/ts1_NPXrU0Y/maxresdefault.jpg,"Dios,Filosofía,Literatura,Norbert Weiner,Posmodernidad,Psicología,Reflexión,Religión,Salud Mental,Sociedad,Tranquilidad,autoayuda,ciencia,documental,individuo,moda,modernidad,motivación,tecnología",28,83106,6513,0,525,541,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,A62INBptExY,2022-02-02T01:21:06Z,La FRIALDAD de la POSMODERNIDAD - Podcast,"Este iba a ser un documental pero al final terminó siendo un podcast debido a su larga duración y al escaso tiempo que me que quedaba para completarlo, así que una vez elegido que sería un podcast añadí todo, no me corté nada. |n|  |n| *********************Preguntas frecuentes *********************  |n| Mis redes: FB: www.facebook.com/elregresodelfantas  |n| Twitter: @darkthanos   |n| Instagram: https://www.instagram.com/esquizo_natural/  |n| Spotify: https://open.spotify.com/show/7tmZi4OzAP09swA1r4r2dB |n|  Patreon: www.patreon.com/EsquizofreniaNatural  |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal.",https://i.ytimg.com/vi/A62INBptExY/maxresdefault.jpg,"Amor,Byung-Chul Han,Crítica,Posmodernidad,amigos,amistad,amor,análisis,anécdota,autoayuda,consumismo,crítica,documental,economía,elección,empatía,exito,familia,felicidad,filosofía,fracaso,frialdad,futuro,historia,hombres,identidad,individualismo,juventud,moral,motivación,mujeres,pareja,pensamiento,podcast,posmodernismo,progresismo,radio,reflexión,romance,secreto,seducción,sentimientos,soceidad,sociedad,soledad,soleto,soltería,tristeza,zygmunt bauman,ética",1,119469,10917,0,700,2081,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,T1wHo0PdhAg,2018-06-24T00:39:07Z,La crisis del hombre - MGTOW - Mini documental,"MGTOW un grupo polémico y que ha ido creciendo lentamente en la sociedad... una filosofía de vida o un movimiento social? |n|  |n| *********************Preguntas frecuentes ********************* |n| Mis redes: |n| FB: www.facebook.com/elregresodelfantas |n| Twitter: @darkthanos |n| Instagram: https://www.instagram.com/esquizo_natural/ |n|  |n| Patreon: www.patreon.com/EsquizofreniaNatural |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. |n| Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal. |n| ¿Cómo apoyar por otro medio? |n| Bueno, mi correo asociado a Pay Pal es: revoluci0nesquizofrenia@gmail.com Si llegaras a enviar algo, por favor hazmelo saber para incluirte en los créditos y consultar tus peticiones.",https://i.ytimg.com/vi/T1wHo0PdhAg/maxresdefault.jpg,"Ciencia,Crisis,Feminismo,Filosofía,Hombre,Justicia,MGTOW,Masculinidad,Men going their own way,Psicología,Sociedad,análisis,conocimiento,crítica,desarrollo,documental,equidad,humanismo,igualdad,información,oportunidad,polémica,política,progreso,reflexión,respeto,salud mental,sociología",28,258423,13386,0,6213,855,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,g5NIDSsmCPU,2019-10-10T02:30:00Z,El Dinero Define Quién Eres,"Hoy hablaré de cómo el dinero incide en nuestra identidad y cómo parece que la gente quiere negar ese hecho con todo tipo de desvios y autoayudas de motivación para ser exitoso y ricos...  |n| ¿Cuál es el secreto del imparable éxito de estas ideas? |n|  |n| *********************Preguntas frecuentes ********************* |n| Mis redes: |n| FB: www.facebook.com/elregresodelfantas |n| Twitter: @darkthanos |n| Instagram: https://www.instagram.com/esquizo_natural/ |n| Spotify: https://open.spotify.com/show/7tmZi4OzAP09swA1r4r2dB |n| Patreon: www.patreon.com/EsquizofreniaNatural |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. |n| Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal. |n| ¿Cómo apoyar por otro medio? |n| Bueno, mi correo asociado a Pay Pal es: revoluci0nesquizofrenia@gmail.com Si llegaras a enviar algo, por favor hazmelo saber para incluirte en los créditos y consultar tus peticiones. |n| ¿Por qué no pones las fuentes en la descripción? Algunas veces tienen palabras que pueden poner en peligro la difusión del video gracias a las políticas de youtube.",https://i.ytimg.com/vi/g5NIDSsmCPU/maxresdefault.jpg,"Dinero,Empresa,Steve Jobs,análisis,autoayuda,autoestima,ciencia,como se,conocimiento,crítica,cuanto vale,depresión,divulgación,documental,economía,filosofía,fracaso,información,lectura,literatura,mente millonaria,mentira,moral,motivación,padre pobre,pensamiento,pobreza,poder,qué es,reflexión,secreto,sentimientos,sociedad,trabajo,valor,verdad,ética,éxito",28,192614,13964,0,1016,1023,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,zSFbvBN956c,2021-11-30T00:24:17Z,Acostumbrados al apocalipsis - En Vivo - Preguntas y Respuestas,Hablemos sobre cómo la idea del apocalipsis se ha convertido en algo de nuestro día a día.,https://i.ytimg.com/vi/zSFbvBN956c/maxresdefault.jpg,"actualidad,bancarrota,cancelación,caricaturas,chiste,ciencia,cine,comedia,comentario,conocimiento,crítica,debate,democracía,derecha,directo,discurso,diversión,divulgación,economía,entretenimiento,filosofía,gripe española,ilusión,inclusión,izquierda,legendaria,leyenda,mexico,miedo,mito,moral,numeros,pandemia,paradoja,pensamiento,personajes,política,posmodernidad,preguntas,progre,radiación,realidad,redes sociales,reseña,respuestas,urbana,verdad,visión,vlog,zizek,ética",1,35778,2767,0,81,7535,0,1
UCf_MY8uWjWH8gwzFK6vCAmg,HVtGjLvoygQ,2017-12-11T16:12:59Z,Live! Navidad en la posmodernidad,"Mis redes: |n| FB: www.facebook.com/elregresodelfantas |n| Twitter: @darkthanos |n| Ivoox (podcast): mx.ivoox.com/es/escuchar-esquizofrenia-natural_nq_361706_1.html |n| Patreon: www.patreon.com/EsquizofreniaNatural |n| El canal de Void: https://www.youtube.com/channel/UCzKrS3oeczIGyoqlaJabf8g/featured |n|  |n| ¿Qué es patreon? Una página que te permite patrocinar con una aportación mensual a tus creadores de contenido preferidos. |n| Para esto es necesario tener una tarjeta bancaria o una cuenta Pay Pal. |n| ¿Por qué borras las transmisiones en directo? Porque así mantienen su valor como eventos fortuitos, así como cualquier charla. Sin embargo no los borro, de vez en vez volveré a liberarlos para quien se los haya perdidos. |n| ¿Por qué pides apoyo? Bueno, no es fácil hacer los vídeos que hago, requiere mucho trabajo, además estoy en proceso de títularme por lo que contar con una fuente de ingresos me sería de agran ayuda. Por demás, no he ganado ni un centavo con monetización de los vídeos. Es opcional, nadie está obligado. No es limosna, recibes contenido a cambio.",https://i.ytimg.com/vi/HVtGjLvoygQ/sddefault.jpg,,22,44384,2201,0,219,6092,0,1
